link,views,unique_sessions,unique_users,total_time_sec,avg_time_sec,median_time_sec,p90_time_sec
https://travel.com.vn/du-lich-viet-nam.aspx?fromDate=2025-12-25&departureFrom=1&utm_source=DIGI_Zalo&utm_medium=zalo_cpc&utm_campaign=du-lich-trong-nuoc,3,1,1,1510.3870000000002,503.4623333333334,167.462,1021.5596
https://travel.com.vn/du-lich-vung-tau.aspx,3,3,3,182.498,60.83266666666666,88.28,93.02879999999999
https://travel.com.vn/chuong-trinh/nhat-ban-tokyo-nui-phu-si-oshino-hakkai-kyoto-osaka-trai-nghiem-truc-thang-an-toi-du-thuyen-vinh-tokyo-thuong-thuc-bo-kobe-pid-11492,3,3,3,3170.2039999999997,1056.7346666666665,1481.992,1596.2528
https://travel.com.vn/chuong-trinh/thai-lan-bangkok-pattaya-bao-tang-lighting-art-cafe-ca-koi-bai-bien-jomtien-khu-du-lich-suan-thai-pattaya-thanh-co-muang-boran-tang-xoi-xoai-thai-lan-khach-san-5-pid-8657,3,3,3,1160.614,386.8713333333333,392.731,513.5374
https://travel.com.vn/du-lich-trong-nuoc/tour-ha-giang.aspx,3,3,3,1192.401,397.46700000000004,140.872,869.3968000000001
https://travel.com.vn/du-lich-cao-cap.aspx,3,3,3,360.974,120.32466666666666,115.527,146.0558
https://travel.com.vn/du-lich-chau-a.aspx,3,3,3,45.367999999999995,15.122666666666666,0.978,35.706
https://travel.com.vn/du-lich-chau-a.aspx?fromDate=2026-02-10&departureFrom=1,3,1,1,4454.059,1484.6863333333333,1749.869,1750.4378
https://travel.com.vn/chuong-trinh/da-nang-pho-co-hoi-an-kdl-ba-na-cau-vang-vuon-tuong-apec-cau-tinh-yeu-khach-san-4-tron-tour-pid-4967,3,3,3,1910.107,636.7023333333333,348.442,1263.6516
https://travel.com.vn/du-lich-ha-long.aspx,3,3,3,1544.806,514.9353333333333,625.126,845.4356
https://travel.com.vn/du-lich-sapa.aspx,3,3,3,2373.855,791.285,951.503,1316.6782
https://travel.com.vn/tags/tour-tet-nguyen-dan.aspx?utm_source=DIGI_Facebook&utm_medium=paid_social&utm_id=1852269935765585&utm_campaign=VTR%20%7C%20%20Xu%C3%A2n%202026%20%7C%20Lead%20Gen%20%7C%2023%2F12%2F2025&ttclid=E_C_P_CuQBUTSD7fD42x3wwg-XiwNxI9g_g3d729Qn8zJ49DxdvnIiM6EqM8eyhLQjmZpA3bV_I9KRzQGaUQ-OR2Fa9eC11oL4MBFSGemIDZCpFhO6_1HS00joX5Jjj-5xTsuoh4c7IeqibH4SR6Rq0j4KINJMa4CXnP88bFN0ycekIok-HXdF5UpF4y_BNKfzlXRGaCIflrDGybz85ElGiCy4EOKx50STnteGQnZPVU_J8zF7O1QWllPN2GbPQhDk-NnvQx6G9YgdJRTDHrj1R5O-t2mX22fBSulrTXrXTSvgsY-TB50WpBQPEgR2Mi4w,3,1,1,298.52799999999996,99.50933333333332,52.688,207.1944
https://travel.com.vn/chuong-trinh/malaysia-indonesia-singapore-pid-8014,3,3,3,436.481,145.49366666666666,75.028,248.1712
https://travel.com.vn/chuong-trinh/sieu-sale-phu-quoc-kham-pha-nam-dao-bai-sao-thi-tran-hoang-hon-cho-dem-vui-phet-kiss-bridge-mot-ngay-tu-do-pid-5462,3,3,3,2605.297,868.4323333333333,827.116,1577.7376000000002
https://travel.com.vn/chuong-trinh/dai-loan-dai-trung-dam-cao-my-dai-trung-dai-bac-thac-nuoc-thap-phan-pho-co-dai-dao-thanh-tang-tra-sua-banh-bao-khach-gia-pid-7208,3,3,3,1447.958,482.6526666666667,616.595,769.5054
https://travel.com.vn/du-lich-trung-quoc.aspx?fromDate=2026-01-16&departureFrom=3,3,2,2,571.193,190.39766666666665,120.683,322.4254
https://travel.com.vn/du-lich-philippines.aspx,3,2,2,668.691,222.89700000000002,329.949,336.9818
https://travel.com.vn/du-lich-nuoc-ngoai/tour-chau-phi.aspx,3,2,2,155.78199999999998,51.92733333333333,71.699,81.60539999999999
https://travel.com.vn/du-lich-nuoc-ngoai/tour-chau-my.aspx,3,3,3,788.028,262.676,126.19,546.8092
https://travel.com.vn/du-lich-chau-au.aspx?fromDate=2026-02-12&departureFrom=1&utm_source=DIGI_Admicro&utm_medium=native&utm_campaign=du-lich-chau-au&cpa_tid=01KEX5B54A3HJ80W9VW9R0J0EX&_tp=11&tpn=15&dmn=m.cafef.vn,2,1,2,482.702,241.351,241.351,405.4006
https://travel.com.vn/chuong-trinh/mien-tay-vinh-long-can-tho-thuong-thuc-ac-san-vinh-long-top-am-thuc-tieu-bieu-viet-nam-nghi-duong-cantho-eco-resort-pid-13010,2,2,2,889.183,444.5915,444.5915,800.2639
https://travel.com.vn/chuong-trinh/sieu-sale-trung-quoc-le-giang-dai-ly-shangrila-nui-tuyet-ngoc-long-lam-nguyet-dam-hem-nui-ho-khieu-hiep-tang-ve-cap-treo-lon-len-dinh-nui-tuyet-ngoc-long-da-giam-1500000dkhach-pid-11534,2,2,2,2064.901,1032.4505,1032.4505,1518.9117
https://travel.com.vn/chuong-trinh/sieu-sale-nhat-ban-tokyo-nui-phu-si-oshino-hakkai-kyoto-osaka-4-em-khach-san-trai-nghiem-shinkansen-xem-bieu-dien-geisha-trai-nghiem-tra-ao-va-mac-yukata-dao-pho-tang-kem-rac-vang-pid-12185,2,2,2,1211.309,605.6545,605.6545,947.1685
https://travel.com.vn/chuong-trinh/nhat-ban-nagoya-kyoto-shirakawago-kamikochi-nui-phu-si-tokyo-thuong-thuc-thit-bo-hida-pid-4288,2,2,2,2267.3810000000003,1133.6905000000002,1133.6905000000002,1481.2829000000002
https://travel.com.vn/du-lich-hoa-ky.aspx,2,2,2,1307.28,653.64,653.64,1054.0976
https://travel.com.vn/du-lich-han-quoc.aspx?fromDate=2026-02-06&departureFrom=1,2,1,1,2216.926,1108.463,1108.463,1384.8086
https://travel.com.vn/du-lich-han-quoc.aspx?fromDate=2026-02-01&departureFrom=1,2,2,2,966.605,483.3025,483.3025,677.3109
